Finclass,FinType
12,COMPENSABLE
13,COMPENSABLE
23,COMPENSABLE
24,COMPENSABLE
25,COMPENSABLE
32,COMPENSABLE
56,COMPENSABLE
57,COMPENSABLE
58,COMPENSABLE
99,PUBLIC
AA,PUBLIC
AC,COMPENSABLE
AD,COMPENSABLE
AO,COMPENSABLE
AR,COMPENSABLE
AS,COMPENSABLE
AT,COMPENSABLE
AV,COMPENSABLE
AW,COMPENSABLE
BB,PUBLIC
BD,PUBLIC
BO,COMPENSABLE
BS,COMPENSABLE
C1,COMPENSABLE
C2,COMPENSABLE
C3,COMPENSABLE
C4,COMPENSABLE
CC,COMPENSABLE
CU,PUBLIC
DC,PUBLIC
DD,PUBLIC
DO,PUBLIC
E2,PRIVATE
E3,PRIVATE
E4,PRIVATE
EA,PRIVATE
EB,PRIVATE
EC,PRIVATE
EE,PUBLIC
EN,PRIVATE
ER,PRIVATE
ES,PRIVATE
EW,PRIVATE
FA,COMPENSABLE
FB,COMPENSABLE
FC,COMPENSABLE
FD,COMPENSABLE
FE,COMPENSABLE
FF,COMPENSABLE
FG,COMPENSABLE
FH,COMPENSABLE
FI,COMPENSABLE
FJ,COMPENSABLE
FK,COMPENSABLE
FL,COMPENSABLE
FM,COMPENSABLE
FN,COMPENSABLE
FO,COMPENSABLE
FP,COMPENSABLE
FQ,COMPENSABLE
FR,COMPENSABLE
FS,COMPENSABLE
FT,COMPENSABLE
HH,PUBLIC
HO,COMPENSABLE
JJ,COMPENSABLE
L1,COMPENSABLE
L2,COMPENSABLE
L3,COMPENSABLE
L4,COMPENSABLE
L5,COMPENSABLE
L6,COMPENSABLE
M2,PUBLIC
M3,PUBLIC
M4,PUBLIC
MA,PUBLIC
MB,PUBLIC
MC,PUBLIC
MM,PUBLIC
MN,PUBLIC
MR,PUBLIC
MS,PUBLIC
MW,PUBLIC
ND,COMPENSABLE
NO,COMPENSABLE
NULL,NULL
OA,COMPENSABLE
OD,COMPENSABLE
OO,COMPENSABLE
OP,PUBLIC
OS,COMPENSABLE
PD,PUBLIC
PO,PUBLIC
R2,PUBLIC
R3,PUBLIC
R4,PUBLIC
RA,PUBLIC
RB,PUBLIC
RC,PUBLIC
RN,PUBLIC
RP,PUBLIC
RW,PUBLIC
S1,PUBLIC
S2,PUBLIC
S3,PUBLIC
S4,PUBLIC
SD,PUBLIC
SO,PUBLIC
T1,COMPENSABLE
T2,COMPENSABLE
T3,COMPENSABLE
T4,COMPENSABLE
TD,PUBLIC
TO,PUBLIC
U1,PUBLIC
U2,PUBLIC
U3,PRIVATE
U4,PRIVATE
U5,PUBLIC
U6,PUBLIC
U7,PUBLIC
U8,PUBLIC
V1,COMPENSABLE
V2,COMPENSABLE
V3,COMPENSABLE
V4,COMPENSABLE
V5,COMPENSABLE
V6,COMPENSABLE
V7,COMPENSABLE
V8,COMPENSABLE
VD,PUBLIC
VO,PUBLIC
W1,COMPENSABLE
W2,COMPENSABLE
W3,COMPENSABLE
W4,COMPENSABLE
XX,PUBLIC
V10,COMPENSABLE
V11,COMPENSABLE
V12,COMPENSABLE
V13,COMPENSABLE
V14,COMPENSABLE
V15,COMPENSABLE
V16,COMPENSABLE
V9,COMPENSABLE
